"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num Precinct total","num Precinct rptg","over votes","under votes"
25,"Commissioner of Labor (Vote For 1)","Emily Anderson (Lib)","",100960,2.59,212159,3963901,159,159,"0","122"
26,"US House of Representatives - District 1 (Vote For 1)","Earl L. """"Buddy"""" Carter (I) (Rep)","",156128,59.15,198440,267079,15,15,"0","80"
27,"US House of Representatives - District 1 (Vote For 1)","Wade Herring (Dem)","",107837,40.85,198440,267079,15,15,"0","80"
28,"US House of Representatives - District 2 (Vote For 1)","Chris West (Rep)","",108665,45.03,0,244445,30,30,"0","9"
29,"US House of Representatives - District 2 (Vote For 1)","Sanford Bishop (I) (Dem)","",132675,54.97,0,244445,30,30,"0","9"
30,"US House Dist 3 (Vote For 1)","Drew Ferguson (I) (Rep)","",213524,68.75,0,327668,15,15,"0","516"
31,"US House Dist 3 (Vote For 1)","Val Almonord (Dem)","",97057,31.25,0,327668,15,15,"0","516"
32,"US House of Representatives - District 4 (Vote For 1)","Jonathan Chavez (Rep)","",59302,21.51,0,289658,3,3,"0","3845"
33,"US House of Representatives - District 4 (Vote For 1)","Henry C """"Hank"""" Johnson Jr (I) (Dem)","",216332,78.49,0,289658,3,3,"0","3845"
34,"US House Dist 5 (Vote For 1)","Christian Zimm (Rep)","",51769,17.52,0,304019,3,3,"0","157"
35,"US House Dist 5 (Vote For 1)","Nikema Williams (I) (Dem)","",243687,82.48,0,304019,3,3,"0","157"
36,"US House Dist 6 (Vote For 1)","Rich McCormick (Rep)","",206886,62.22,0,349001,6,6,"0","219"
37,"US House Dist 6 (Vote For 1)","Bob Christian (Dem)","",125612,37.78,0,349001,6,6,"0","219"
38,"US House Dist 7 (Vote For 1)","Mark Gonsalves (Rep)","",91262,38.95,0,239283,2,2,"0","369"
39,"US House Dist 7 (Vote For 1)","Lucy McBath (I) (Dem)","",143063,61.05,0,239283,2,2,"0","369"
40,"US House of Representatives - District 8 (Vote For 1)","Austin Scott (I) (Rep)","",178700,68.58,0,265135,29,29,"0","65"
41,"US House of Representatives - District 8 (Vote For 1)","Darrius Butler (Dem)","",81886,31.42,0,265135,29,29,"0","65"
42,"US House of Representatives - District 9 (Vote For 1)","Andrew Clyde (I) (Rep)","",212820,72.35,0,298384,14,14,"0","63"
43,"US House of Representatives - District 9 (Vote For 1)","Michael """"Mike"""" Ford (Dem)","",81318,27.65,0,298384,14,14,"0","63"
44,"US House of Representatives - District 10 (Vote For 1)","Mike Collins (Rep)","",198523,64.53,0,317427,18,18,"0","279"
45,"US House of Representatives - District 10 (Vote For 1)","Tabitha Johnson-Green (Dem)","",109107,35.47,0,317427,18,18,"0","279"
46,"US House Dist 11 (Vote For 1)","Barry Loudermilk (I) (Rep)","",190086,62.60,0,323182,4,4,"0","370"
47,"US House Dist 11 (Vote For 1)","Antonio Daza (Dem)","",113571,37.40,0,323182,4,4,"0","370"
48,"US House of Representatives - District 12 (Vote For 1)","Rick W. Allen (I) (Rep)","",158047,59.60,13719,270532,24,24,"0","264"
49,"US House of Representatives - District 12 (Vote For 1)","Elizabeth 'Liz' Johnson (Dem)","",107148,40.40,13719,270532,24,24,"0","264"
50,"US House Dist 13 (Vote For 1)","Caesar Gonzales (Rep)","",48228,18.23,0,283879,6,6,"1","1262"
51,"US House Dist 13 (Vote For 1)","David Scott (I) (Dem)","",216388,81.77,0,283879,6,6,"1","1262"
52,"US House Dist 14 (Vote For 1)","Marjorie Taylor Greene (I) (Rep)","",170162,65.86,0,270194,11,11,"0","351"
53,"US House Dist 14 (Vote For 1)","Marcus Flowers (Dem)","",88189,34.14,0,270194,11,11,"0","351"
54,"State Senate - District 1 (Vote For 1)","Ben Watson (I) (Rep)","",43080,61.38,79287,80677,3,3,"0","226"
55,"State Senate - District 1 (Vote For 1)","James """"Jay"""" Jones (Dem)","",27106,38.62,79287,80677,3,3,"0","226"
56,"State Senate - District 2 (Vote For 1)","Clinton Young (Rep)","",16203,28.05,129466,63658,1,1,"0","1158"
57,"State Senate - District 2 (Vote For 1)","Derek Mallow (Dem)","",41553,71.95,129466,63658,1,1,"0","1158"
58,"State Senate - District 3 (Vote For 1)","Mike Hodges (Rep)","",54807,100.00,0,72157,6,6,"0","361"
59,"State Senate - District 4 (Vote For 1)","Billy Hickman (I) (Rep)","",53563,100.00,31007,72731,5,5,"0","3733"
60,"State Senate - District 5/ Senador Estatal del Distrito 5 (Vote For 1)","Sheikh Rahman (I) (Dem)","",26340,100.00,0,34435,1,1,"0","5094"
61,"State Senate - District 6 (Vote For 1)","Fred Glass (Rep)","",34607,43.43,0,89040,2,2,"0","659"
62,"State Senate - District 6 (Vote For 1)","Jason Esteves (Dem)","",45076,56.57,0,89040,2,2,"0","659"
63,"State Senate - District 7/ Senador Estatal del Distrito 7 (Vote For 1)","Josh McKay (Rep)","",29148,47.16,0,63476,1,1,"0","988"
64,"State Senate - District 7/ Senador Estatal del Distrito 7 (Vote For 1)","Nabilah Islam (Dem)","",32665,52.84,0,63476,1,1,"0","988"
65,"State Senate - District 8 (Vote For 1)","Russ Goodman (I) (Rep)","",47458,100.00,0,60430,7,7,"0","320"
66,"State Senate - District 9/ Senador Estatal del Distrito 9 (Vote For 1)","Nikki Merritt (I) (Dem)","",47638,100.00,0,65576,1,1,"0","14370"
67,"State Senate - District 10 (Vote For 1)","Emanuel D. Jones (I) (Dem)","",68240,100.00,0,83692,2,2,"0","1428"
68,"State Senate - District 11 (Vote For 1)","Dean Burke (I) (Rep)","",49591,100.00,0,61539,7,7,"0","1278"
69,"State Senate - District 12 (Vote For 1)","Freddie Powell Sims (I) (Dem)","",48102,100.00,0,63591,13,13,"0","380"
70,"State Senate - District 13 (Vote For 1)","Carden H. Summers (I) (Rep)","",54014,100.00,0,68525,9,9,"0","898"
71,"State Senate Dist 14 (Vote For 1)","Liz Hausmann (Rep)","",34257,45.31,0,77069,1,1,"0","1377"
72,"State Senate Dist 14 (Vote For 1)","Josh McLaurin (Dem)","",41353,54.69,0,77069,1,1,"0","1377"
73,"State Senate Dist 15 (Vote For 1)","Ed Harbison (I) (Dem)","",39953,100.00,0,50164,7,7,"0","311"
74,"State Senate Dist 16 (Vote For 1)","Marty Harbin (I) (Rep)","",57965,68.18,0,86594,4,4,"0","794"
75,"State Senate Dist 16 (Vote For 1)","Pingke Dubignon (Dem)","",27048,31.82,0,86594,4,4,"0","794"
76,"State Senate - District 17 (Vote For 1)","Brian Strickland (I) (Rep)","",49532,61.56,0,81403,4,4,"0","341"
77,"State Senate - District 17 (Vote For 1)","Kacy D. Morgan (Dem)","",30929,38.44,0,81403,4,4,"0","341"
78,"State Senate - District 18 (Vote For 1)","John F. Kennedy (I) (Rep)","",49581,64.43,0,87316,6,6,"0","294"
79,"State Senate - District 18 (Vote For 1)","Chris Benton (Dem)","",27372,35.57,0,87316,6,6,"0","294"
80,"State Senate - District 19 (Vote For 1)","Blake Tillery (I) (Rep)","",45431,78.68,0,63678,11,11,"0","108"
81,"State Senate - District 19 (Vote For 1)","Michael """"Buckle"""" Moore (Dem)","",12308,21.32,0,63678,11,11,"0","108"
82,"State Senate - District 20 (Vote For 1)","Larry Walker (I)(Rep)","",59824,100.00,0,79603,8,8,"0","473"
83,"State Senate Dist 21 (Vote For 1)","Brandon Beach (I) (Rep)","",73600,100.00,0,89489,2,2,"0","6337"
84,"State Senate - District 22 (Vote For 1)","Andrew Danielson (Rep)","",17077,29.57,0,59066,1,1,"0","1254"
85,"State Senate - District 22 (Vote For 1)","Harold V. Jones II (I) (Dem)","",40676,70.43,0,59066,1,1,"0","1254"
86,"State Senate - District 23 (Vote For 1)","Max Burns (I) (Rep)","",53320,100.00,13719,69148,11,11,"0","2114"
87,"State Senate - District 24 (Vote For 1)","Lee Anderson (I) (Rep)","",72370,100.00,0,87424,7,7,"0","6241"
88,"State Senate - District 25 (Vote For 1)","Ricky """"Rick"""" Williams (Rep)","",46289,61.66,0,78722,7,7,"0","218"
89,"State Senate - District 25 (Vote For 1)","Valerie Rodgers (Dem)","",28777,38.34,0,78722,7,7,"0","218"
90,"State Senate - District 26 (Vote For 1)","David E. Lucas, Sr. (I) (Dem)","",45293,100.00,0,59493,7,7,"0","3149"
91,"State Senate Dist 27 (Vote For 1)","Greg Dolezal (I) (Rep)","",58096,73.87,0,82778,1,1,"0","970"
92,"State Senate Dist 27 (Vote For 1)","Brent Binion (Dem)","",20551,26.13,0,82778,1,1,"0","970"
93,"State Senate Dist 28 (Vote For 1)","Matt Brass (I) (Rep)","",67216,100.00,0,85492,4,4,"0","9457"
94,"State Senate Dist 29 (Vote For 1)","Randy Robertson (I) (Rep)","",48339,66.25,0,74836,4,4,"0","174"
95,"State Senate Dist 29 (Vote For 1)","Ellen Wright (Dem)","",24628,33.75,0,74836,4,4,"0","174"
96,"State Senate Dist 30 (Vote For 1)","Mike Dugan (I) (Rep)","",59251,100.00,0,75831,4,4,"0","5536"
97,"State Senate Dist 31 (Vote For 1)","Jason Anavitarte (I) (Rep)","",57843,100.00,0,77044,2,2,"1","11233"
98,"State Senate Dist 32 (Vote For 1)","Kay Kirkpatrick (I) (Rep)","",48081,61.59,0,82855,2,2,"0","500"
99,"State Senate Dist 32 (Vote For 1)","Sylvia L. Bennett (Dem)","",29982,38.41,0,82855,2,2,"0","500"
100,"State Senate - District 33 (Vote For 1)","Michael Rhett (I) (Dem)","",47887,100.00,0,72072,1,1,"0","9784"
101,"State Senate Dist 34 (Vote For 1)","Thomas """"Tommy"""" Smith (Rep)","",8689,16.29,0,54417,2,2,"1","794"
102,"State Senate Dist 34 (Vote For 1)","Valencia M. Seay (I) (Dem)","",44660,83.71,0,54417,2,2,"1","794"
103,"State Senate Dist 35 (Vote For 1)","Donzella James (I) (Dem)","",62015,100.00,0,71108,2,2,"0","5696"
104,"State Senate Dist 36 (Vote For 1)","Nan Orrock (I) (Dem)","",63848,100.00,0,70504,1,1,"0","5797"
105,"State Senate Dist 37 (Vote For 1)","Ed Setzler (Rep)","",51953,58.84,0,98219,2,2,"0","43"
106,"State Senate Dist 37 (Vote For 1)","Vanessa Parker (Dem)","",36341,41.16,0,98219,2,2,"0","43"
107,"State Senate - District 38 (Vote For 1)","Horacena Tate (I) (Dem)","",64418,100.00,0,82316,2,2,"0","6979"
108,"State Senate Dist 39 (Vote For 1)","Sonya Halpern (I) (Dem)","",60401,100.00,0,68004,1,1,"0","6808"
109,"State Senate - District 40 (Vote For 1)","Austin McDonald (Rep)","",24870,38.43,0,68190,2,2,"0","1009"
110,"State Senate - District 40 (Vote For 1)","Sally Harrell (I) (Dem)","",39839,61.57,0,68190,2,2,"0","1009"
111,"State Senate - District 41 (Vote For 1)","Jayre Jones (Rep)","",11195,17.85,0,64378,2,2,"0","1560"
112,"State Senate - District 41 (Vote For 1)","Kim Jackson (I) (Dem)","",51512,82.15,0,64378,2,2,"0","1560"
113,"State Senate - District 42 (Vote For 1)","Elena Parent (I) (Dem)","",77961,100.00,0,92624,1,1,"0","9501"
114,"State Senate - District 43 (Vote For 1)","Melanie Williams (Rep)","",17128,24.95,0,69994,3,3,"0","220"
115,"State Senate - District 43 (Vote For 1)","Tonya P. Anderson (I) (Dem)","",51534,75.05,0,69994,3,3,"0","220"
116,"State Senate Dist 44 (Vote For 1)","Gail Davenport (I) (Dem)","",61768,100.00,0,71111,2,2,"0","4654"
117,"State Senate - District 45 (Vote For 1)","Clint Dixon (I) (Rep)","",41416,61.29,0,70805,2,2,"0","145"
118,"State Senate - District 45 (Vote For 1)","Matielyn Jones (Dem)","",26163,38.71,0,70805,2,2,"0","145"
119,"State Senate - District 46 (Vote For 1)","Bill Cowsert (I) (Rep)","",48555,64.02,0,86370,5,5,"0","63"
120,"State Senate - District 46 (Vote For 1)","Andrew Ferguson (Dem)","",27286,35.98,0,86370,5,5,"0","63"
121,"State Senate - District 47 (Vote For 1)","Frank Ginn (I) (Rep)","",44530,62.00,0,84421,4,4,"0","137"
122,"State Senate - District 47 (Vote For 1)","Conolus Scott, Jr. (Dem)","",27287,38.00,0,84421,4,4,"0","137"
123,"State Senate Dist 48 (Vote For 1)","Shawn Still (Rep)","",41464,56.72,0,79928,3,3,"0","293"
124,"State Senate Dist 48 (Vote For 1)","Josh Uddin (Dem)","",31635,43.28,0,79928,3,3,"0","293"
125,"State Senate - District 49 (Vote For 1)","Shelly Echols (Rep)","",53106,75.84,0,72998,1,1,"0","802"
126,"State Senate - District 49 (Vote For 1)","Jody Cooley (Dem)","",16919,24.16,0,72998,1,1,"0","802"
127,"State Senate - District 50 (Vote For 1)","Bo Hatchett (I) (Rep)","",62105,84.78,0,85984,9,9,"0","65"
128,"State Senate - District 50 (Vote For 1)","Paulette Williams (Dem)","",11151,15.22,0,85984,9,9,"0","65"
129,"State Senate Dist 51 (Vote For 1)","Steve Gooch (I) (Rep)","",79579,100.00,0,89562,7,7,"0","1247"
130,"State Senate Dist 52 (Vote For 1)","Chuck Hufstetler (I) (Rep)","",57785,100.00,0,70942,3,3,"0","3948"
131,"State Senate Dist 53 (Vote For 1)","Colton Moore (Rep)","",56221,100.00,0,67905,5,5,"0","2711"
132,"State Senate Dist 54 (Vote For 1)","Chuck Payne (I) (Rep)","",48051,100.00,0,55364,3,3,"0","1554"
133,"State Senate - District 55 (Vote For 1)","Gloria S. Butler (I) (Dem)","",62044,100.00,0,72462,2,2,"0","1197"
134,"State Senate Dist 56 (Vote For 1)","John Albers (I) (Rep)","",58121,61.65,0,95914,3,3,"0","402"
135,"State Senate Dist 56 (Vote For 1)","Patrick Thompson (Dem)","",36156,38.35,0,95914,3,3,"0","402"
136,"State House Dist 1 (Vote For 1)","Mike Cameron (I) (Rep)","",16245,100.00,0,23595,2,2,"0","689"
137,"State House Dist 2 (Vote For 1)","Steve Tarvin (I) (Rep)","",19444,100.00,0,26513,3,3,"0","377"
138,"State House Dist 3 (Vote For 1)","Mitchell Horner (Rep)","",18088,100.00,0,21110,1,1,"0","2615"
139,"State House Dist 4 (Vote For 1)","Kasey Carpenter (I) (Rep)","",9762,100.00,0,13249,1,1,"0","1840"
140,"State House Dist 5 (Vote For 1)","Matt Barton (I) (Rep)","",17449,100.00,0,19559,2,2,"0","168"
141,"State House Dist 6 (Vote For 1)","Jason T. Ridley (I) (Rep)","",16826,100.00,0,20444,3,3,"0","120"
142,"State House Dist 7 (Vote For 1)","David Ralston (I) (Rep)","",24886,100.00,0,28810,3,3,"0","306"
143,"State House of Representatives - District 8 (Vote For 1)","Stan Gunter (I) (Rep)","",26573,84.30,0,31893,3,3,"0","86"
144,"State House of Representatives - District 8 (Vote For 1)","June Krise (Dem)","",4948,15.70,0,31893,3,3,"0","86"
145,"State House Dist 9 (Vote For 1)","Will Wade (I) (Rep)","",22850,100.00,0,27210,3,3,"0","1052"
146,"State House of Representatives - District 10 (Vote For 1)","Victor E. Anderson (I) (Rep)","",21322,100.00,0,24889,2,2,"0","1410"
147,"State House Dist 11 (Vote For 1)","Rick Jasperse (I) (Rep)","",22790,84.06,0,33804,3,3,"0","32"
148,"State House Dist 11 (Vote For 1)","Kayla L. Hollifield (Dem)","",4323,15.94,0,33804,3,3,"0","32"
149,"State House Dist 12 (Vote For 1)","Eddie Lumsden (I) (Rep)","",17153,100.00,0,22842,2,2,"0","795"
150,"State House Dist 13 (Vote For 1)","Katie Dempsey (I) (Rep)","",15097,100.00,0,20937,1,1,"0","3252"
151,"State House Dist 14 (Vote For 1)","Mitchell Scoggins (I) (Rep)","",21640,100.00,0,24863,2,2,"0","1784"
152,"State House Dist 15 (Vote For 1)","Matthew Gambill (I) (Rep)","",17718,100.00,0,24147,1,1,"0","2656"
153,"State House Dist 16 (Vote For 1)","Trey Kelley (I) (Rep)","",17976,100.00,0,38727,2,2,"0","1040"
154,"State House Dist 17 (Vote For 1)","Martin Momtahan (I) (Rep)","",14522,65.25,0,35453,1,1,"1","396"
155,"State House Dist 17 (Vote For 1)","Sunshine Marshall (Dem)","",7733,34.75,0,35453,1,1,"1","396"
156,"State House Dist 18 (Vote For 1)","Tyler Paul Smith (I) (Rep)","",20567,86.45,0,24765,3,3,"0","98"
157,"State House Dist 18 (Vote For 1)","Pat Rhudy (Dem)","",3225,13.55,0,24765,3,3,"0","98"
158,"State House Dist 19 (Vote For 1)","Joseph Gullett (I) (Rep)","",14440,63.64,0,36030,1,1,"1","388"
159,"State House Dist 19 (Vote For 1)","R.J. Coyle (Dem)","",8249,36.36,0,36030,1,1,"1","388"
160,"State House Dist 20 (Vote For 1)","Charlice Byrd (I) (Rep)","",21626,100.00,0,26947,1,1,"0","3926"
161,"State House Dist 21 (Vote For 1)","Brad Thomas (I) (Rep)","",25685,100.00,0,33360,1,1,"0","3914"
162,"State House Dist 22 (Vote For 1)","Jordan Ridley (Rep)","",14685,61.51,0,30189,2,2,"0","144"
163,"State House Dist 22 (Vote For 1)","Stacee Lashone Hill (Dem)","",9190,38.49,0,30189,2,2,"0","144"
164,"State House Dist 23 (Vote For 1)","Mandi L Ballinger (I) (Rep)","",21252,100.00,0,25724,1,1,"0","3330"
165,"State House Dist 24 (Vote For 1)","Carter Barrett (Rep)","",15593,67.22,0,32926,1,1,"0","251"
166,"State House Dist 24 (Vote For 1)","Sydney Walker (Dem)","",7604,32.78,0,32926,1,1,"0","251"
167,"State House Dist 25 (Vote For 1)","Todd Jones (I) (Rep)","",14881,62.69,0,26718,2,2,"0","202"
168,"State House Dist 25 (Vote For 1)","Craig J. Meyer (Dem)","",8858,37.31,0,26718,2,2,"0","202"
169,"State House Dist 26 (Vote For 1)","Lauren W. McDonald III (I) (Rep)","",17124,72.44,0,36355,1,1,"0","311"
170,"State House Dist 26 (Vote For 1)","Matthew J. Helms (Dem)","",6515,27.56,0,36355,1,1,"0","311"
171,"State House of Representatives - District 27 (Vote For 1)","Lee Hawkins (I) (Rep)","",22947,100.00,0,36508,2,2,"0","1749"
172,"State House Dist 28 (Vote For 1)","Brent Cox (Rep)","",20474,80.00,0,38806,2,2,"0","228"
173,"State House Dist 28 (Vote For 1)","Claudia Wood (Dem)","",5118,20.00,0,38806,2,2,"0","228"
174,"State House of Representatives - District 29 (Vote For 1)","Matt Dubnik (I) (Rep)","",8413,63.58,0,17263,1,1,"0","199"
175,"State House of Representatives - District 29 (Vote For 1)","Devin Pandy (Dem)","",4819,36.42,0,17263,1,1,"0","199"
176,"State House of Representatives - District 30/Para Representante Estatal ante la Asamblea General, Distrito 30 (Vote For 1)","Derrick McCollum (Rep)","",19227,75.73,0,26249,2,2,"0","48"
177,"State House of Representatives - District 30/Para Representante Estatal ante la Asamblea General, Distrito 30 (Vote For 1)","Kim Floria (Dem)","",6161,24.27,0,26249,2,2,"0","48"
178,"State House of Representatives - District 31 (Vote For 1)","Emory Dunahoo, Jr. (I) (Rep)","",20258,100.00,0,29503,2,2,"0","408"
179,"State House of Representatives - District 32 (Vote For 1)","Chris Erwin (I) (Rep)","",19468,100.00,0,34008,4,4,"0","394"
180,"State House of Representatives - District 33 (Vote For 1)","Alan Powell (I) (Rep)","",21440,100.00,0,26251,3,3,"0","503"
181,"State House of Representatives - District 34 (Vote For 1)","Devan Seabaugh (I) (Rep)","",19155,62.19,0,36063,1,1,"0","425"
182,"State House of Representatives - District 34 (Vote For 1)","Dorothy Coker (Dem)","",11645,37.81,0,36063,1,1,"0","425"
183,"State House of Representatives - District 35 (Vote For 1)","Robert Trim (Rep)","",8769,44.01,0,22900,1,1,"0","289"
184,"State House of Representatives - District 35 (Vote For 1)","Lisa Campbell (Dem)","",11156,55.99,0,22900,1,1,"0","289"
185,"State House of Representatives - District 36 (Vote For 1)","Ginny Ehrhart (I) (Rep)","",19649,62.93,0,38003,1,1,"0","531"
186,"State House of Representatives - District 36 (Vote For 1)","James F. Ryner (Dem)","",11576,37.07,0,38003,1,1,"0","531"
187,"State House of Representatives - District 37 (Vote For 1)","Marites """"Tess"""" Redding (Rep)","",8774,42.59,0,29234,1,1,"0","403"
188,"State House of Representatives - District 37 (Vote For 1)","Mary Frances Williams (I) (Dem)","",11825,57.41,0,29234,1,1,"0","403"
189,"State House of Representatives - District 38 (Vote For 1)","David Wilkerson (I) (Dem)","",18275,100.00,0,26313,1,1,"0","3574"
190,"State House of Representatives - District 39 (Vote For 1)","Olivia Angel (Rep)","",4308,21.60,0,25075,1,1,"0","344"
191,"State House of Representatives - District 39 (Vote For 1)","Terry Cummings (Dem)","",15634,78.40,0,25075,1,1,"0","344"
192,"State House of Representatives - District 40 (Vote For 1)","Fun Fong (Rep)","",9623,35.79,0,32992,1,1,"0","434"
193,"State House of Representatives - District 40 (Vote For 1)","Doug Stoner (Dem)","",17265,64.21,0,32992,1,1,"0","434"
194,"State House of Representatives - District 41 (Vote For 1)","James Allen Rodi (Rep)","",4630,29.00,0,19267,1,1,"0","380"
195,"State House of Representatives - District 41 (Vote For 1)","Michael Smith (I) (Dem)","",11336,71.00,0,19267,1,1,"0","380"
196,"State House of Representatives - District 42 (Vote For 1)","Teri Anulewicz (I) (Dem)","",14693,100.00,0,23634,1,1,"0","2987"
197,"State House of Representatives - District 43 (Vote For 1)","Anna J. Tillman (Rep)","",8293,43.86,0,25648,1,1,"0","317"
198,"State House of Representatives - District 43 (Vote For 1)","Solomon Adesanya (Dem)","",10614,56.14,0,25648,1,1,"0","317"
199,"State House Dist 44 (Vote For 1)","Don L. Parsons (I) (Rep)","",15278,58.89,0,27703,2,2,"0","119"
200,"State House Dist 44 (Vote For 1)","Willie Mae Oyogoa (Dem)","",10666,41.11,0,27703,2,2,"0","119"
201,"State House of Representatives - District 45 (Vote For 1)","Sharon Cooper (I) (Rep)","",18572,58.89,0,32074,1,1,"0","506"
202,"State House of Representatives - District 45 (Vote For 1)","Dustin McCormick (Dem)","",12966,41.11,0,32074,1,1,"0","506"
203,"State House Dist 46 (Vote For 1)","John Carson (I) (Rep)","",17920,59.78,0,31515,2,2,"0","97"
204,"State House Dist 46 (Vote For 1)","Micheal Garza (Dem)","",12057,40.22,0,31515,2,2,"0","97"
205,"State House Dist 47 (Vote For 1)","Jan Jones (I) (Rep)","",19338,100.00,0,26731,2,2,"0","265"
206,"State House Dist 48 (Vote For 1)","Scott Hilton (Rep)","",14536,54.30,0,27115,2,2,"0","226"
207,"State House Dist 48 (Vote For 1)","Mary Robichaux (I) (Dem)","",12232,45.70,0,27115,2,2,"0","226"
208,"State House Dist 49 (Vote For 1)","Charles E. """"Chuck"""" Martin (I) (Rep)","",17092,58.06,0,29944,1,1,"0","474"
209,"State House Dist 49 (Vote For 1)","Peggy Gillen (Dem)","",12346,41.94,0,29944,1,1,"0","474"
210,"State House Dist 50 (Vote For 1)","Narender Reddy (Rep)","",10198,45.96,0,22545,1,1,"0","324"
211,"State House Dist 50 (Vote For 1)","Michelle Au (Dem)","",11989,54.04,0,22545,1,1,"0","324"
212,"State House Dist 51 (Vote For 1)","Peter Korman (Rep)","",10111,44.20,0,23250,1,1,"0","342"
213,"State House Dist 51 (Vote For 1)","Esther Panitch (Dem)","",12763,55.80,0,23250,1,1,"0","342"
214,"State House of Representatives - District 52 (Vote For 1)","Wendy Ahrenkiel (Rep)","",9181,39.45,0,23724,2,2,"0","204"
215,"State House of Representatives - District 52 (Vote For 1)","Shea Roberts (I) (Dem)","",14089,60.55,0,23724,2,2,"0","204"
216,"State House Dist 53 (Vote For 1)","Deborah Silcox (Rep)","",15160,52.60,0,29308,1,1,"0","451"
217,"State House Dist 53 (Vote For 1)","Kelly Coffman (Dem)","",13664,47.40,0,29308,1,1,"0","451"
218,"State House Dist 54 (Vote For 1)","John Bailey (Rep)","",9876,42.17,0,23851,1,1,"0","397"
219,"State House Dist 54 (Vote For 1)","Betsy Holland (I) (Dem)","",13542,57.83,0,23851,1,1,"0","397"
220,"State House Dist 55 (Vote For 1)","Samuel S. Lenaeus (Rep)","",4880,21.67,0,23247,1,1,"0","689"
221,"State House Dist 55 (Vote For 1)","Inga Willis (Dem)","",17644,78.33,0,23247,1,1,"0","689"
222,"State House Dist 56 (Vote For 1)","Mesha Mainor (I) (Dem)","",16054,100.00,0,17789,1,1,"0","1547"
223,"State House Dist 57 (Vote For 1)","Stacey Evans (I) (Dem)","",22954,100.00,0,27329,1,1,"0","3881"
224,"State House Dist 58 (Vote For 1)","Park Elizabeth Cannon (I) (Dem)","",18866,100.00,0,20704,1,1,"0","1661"
225,"State House Dist 59 (Vote For 1)","Phil Olaleye (Dem)","",18983,100.00,0,20672,1,1,"0","1558"
226,"State House Dist 60 (Vote For 1)","Sheila Jones (I) (Dem)","",20874,100.00,0,24812,1,1,"0","3434"
227,"State House Dist 61 (Vote For 1)","Roger Bruce (I) (Dem)","",20091,100.00,0,22900,2,2,"0","1635"
